Region,Region code,Province,Province code,"Annual Per Capita Poverty Threshold 
(in Php)_2006","Annual Per Capita Poverty Threshold 
(in Php)_2009","Annual Per Capita Poverty Threshold 
(in Php)_2012","Annual Per Capita Poverty Threshold 
(in Php)_2015",Poverty Incidence among Families (%)_Est (%)_2006,Poverty Incidence among Families (%)_Est (%)_2009,Poverty Incidence among Families (%)_Est (%)_2012,Poverty Incidence among Families (%)_Est (%)_2015,Poverty Incidence among Families (%)_CV_2006,Poverty Incidence among Families (%)_CV_2009,Poverty Incidence among Families (%)_CV_2012,Poverty Incidence among Families (%)_CV_2015,Magnitude of Poor Families_Est_2006,Magnitude of Poor Families_Est_2009,Magnitude of Poor Families_Est_2012,Magnitude of Poor Families_Est_2015
NATIONAL CAPITAL REGION (NCR),PH130000000,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)b/",PH133900000," 15,699 "," 19,227 "," 20,344 "," 25,007 ",2.7,3.2, 3.6 ,3.5,29.6,48.7,24.8,26.7," 9,906 "," 12,405 "," 14,343 "," 12,710 "
NATIONAL CAPITAL REGION (NCR),PH130000000,"NCR, SECOND DISTRICT (Not a Province)b/",PH137400000," 15,699 "," 19,227 "," 20,344 "," 25,007 ",3.2,2.2, 1.9 ,1.9,48.0,21.4,25.6,40.4," 28,247 "," 21,168 "," 19,782 "," 21,727 "
NATIONAL CAPITAL REGION (NCR),PH130000000,"NCR, THIRD DISTRICT (Not a Province)",PH137500000," 15,699 "," 19,227 "," 20,344 "," 25,007 ",3.3,3.2, 2.8 ,3.3,19.5,23.9,23.7,19.6," 18,631 "," 19,306 "," 18,266 "," 22,352 "
NATIONAL CAPITAL REGION (NCR),PH130000000,"NCR, FOURTH DISTRICT (Not a Province)b/",PH137600000," 15,699 "," 19,227 "," 20,344 "," 25,007 ",2.4,1.5, 3.0 ,2.8,21.8,35.0,21.5,23.5," 16,570 "," 11,095 "," 24,138 "," 23,457 "
CORDILLERA ADMINISTRATIVE REGION (CAR),PH140000000,ABRA,PH140100000," 14,680 "," 17,852 "," 19,775 "," 21,240 ",39.4,38.9, 27.2 ,19.9,10.8,21.0,21.2,13.2," 18,054 "," 18,852 "," 13,914 "," 12,400 "
CORDILLERA ADMINISTRATIVE REGION (CAR),PH140000000,APAYAO,PH148100000," 13,915 "," 16,923 "," 18,623 "," 20,947 ",42.1,39.9, 54.7 ,30.9,22.1,24.2,16.0,11.5," 8,944 "," 9,132 "," 13,462 "," 6,945 "
CORDILLERA ADMINISTRATIVE REGION (CAR),PH140000000,BENGUETb/,PH141100000," 13,341 "," 16,217 "," 19,140 "," 21,561 ",4.0,4.2, 2.8 ,2.5,24.6,30.3,31.7,37.8," 5,773 "," 6,937 "," 5,121 "," 4,783 "
CORDILLERA ADMINISTRATIVE REGION (CAR),PH140000000,IFUGAOb/,PH142700000," 14,233 "," 17,321 "," 20,253 "," 22,673 ",20.9,23.9, 36.0 ,26.1,26.3,15.3,16.4,34.3," 7,575 "," 9,263 "," 14,950 "," 11,133 "
CORDILLERA ADMINISTRATIVE REGION (CAR),PH140000000,KALINGAb/,PH143200000," 13,079 "," 15,939 "," 17,342 "," 20,468 ",40.6,24.1, 20.9 ,30.0,14.3,16.9,35.3,26.9," 14,340 "," 9,124 "," 8,482 "," 12,884 "
CORDILLERA ADMINISTRATIVE REGION (CAR),PH140000000,MOUNTAIN PROVINCE,PH144400000," 14,910 "," 18,118 "," 21,138 "," 23,620 ",38.5,39.3, 27.9 ,29.5,26.5,20.1,28.1,19.3," 11,920 "," 12,803 "," 9,586 "," 11,615 "
