Region,Region code,Province,Province code,Magnitude of Poor Families_Est_2006,Magnitude of Poor Families_Est_2009,Magnitude of Poor Families_Est_2012,Magnitude of Poor Families_Est_2015,Total Magnitude of Poor Families_Est_2006,Total Magnitude of Poor Families_Est_2009,Total Magnitude of Poor Families_Est_2012,Total Magnitude of Poor Families_Est_2015
NATIONAL CAPITAL REGION (NCR),PH130000000,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",PH133900000,9906,12405,14343,12710,73354,63974,76529,80246
NATIONAL CAPITAL REGION (NCR),PH130000000,"NCR, SECOND DISTRICT (Not a Province)",PH137400000,28247,21168,19782,21727,73354,63974,76529,80246
NATIONAL CAPITAL REGION (NCR),PH130000000,"NCR, THIRD DISTRICT (Not a Province)",PH137500000,18631,19306,18266,22352,73354,63974,76529,80246
NATIONAL CAPITAL REGION (NCR),PH130000000,"NCR, FOURTH DISTRICT (Not a Province)",PH137600000,16570,11095,24138,23457,73354,63974,76529,80246
CORDILLERA ADMINISTRATIVE REGION (CAR),PH140000000,ABRA,PH140100000,18054,18852,13914,12400,66606,66111,65515,59760
CORDILLERA ADMINISTRATIVE REGION (CAR),PH140000000,APAYAO,PH148100000,8944,9132,13462,6945,66606,66111,65515,59760
CORDILLERA ADMINISTRATIVE REGION (CAR),PH140000000,BENGUET,PH141100000,5773,6937,5121,4783,66606,66111,65515,59760
CORDILLERA ADMINISTRATIVE REGION (CAR),PH140000000,IFUGAO,PH142700000,7575,9263,14950,11133,66606,66111,65515,59760
CORDILLERA ADMINISTRATIVE REGION (CAR),PH140000000,KALINGA,PH143200000,14340,9124,8482,12884,66606,66111,65515,59760
CORDILLERA ADMINISTRATIVE REGION (CAR),PH140000000,MOUNTAIN PROVINCE,PH144400000,11920,12803,9586,11615,66606,66111,65515,59760
REGION I (ILOCOS REGION),PH010000000,ILOCOS NORTE,PH012800000,16393,14045,11211,4848,191326,172726,154712,112233
REGION I (ILOCOS REGION),PH010000000,ILOCOS SUR,PH012900000,22174,19256,20886,15269,191326,172726,154712,112233
REGION I (ILOCOS REGION),PH010000000,LA UNION,PH013300000,31041,35938,26506,20554,191326,172726,154712,112233
REGION I (ILOCOS REGION),PH010000000,PANGASINAN,PH015500000,121718,103487,96109,71562,191326,172726,154712,112233
REGION II (CAGAYAN VALLEY),PH020000000,CAGAYAN,PH021500000,56765,55061,40237,35986,141954,143148,130154,95367
REGION II (CAGAYAN VALLEY),PH020000000,ISABELA,PH023100000,72134,74412,68106,42685,141954,143148,130154,95367
REGION II (CAGAYAN VALLEY),PH020000000,NUEVA VIZCAYA,PH025000000,9576,9365,15297,8504,141954,143148,130154,95367
REGION II (CAGAYAN VALLEY),PH020000000,QUIRINO,PH025700000,3479,4310,6514,8192,141954,143148,130154,95367
REGION III (CENTRAL LUZON),PH030000000,AURORAc,PH037700000,10211,6445,12789,12793,206568,232928,240079,223684
REGION III (CENTRAL LUZON),PH030000000,BATAAN,PH030800000,8359,8688,7116,2751,206568,232928,240079,223684
REGION III (CENTRAL LUZON),PH030000000,BULACAN,PH031400000,27997,29371,38103,24359,206568,232928,240079,223684
REGION III (CENTRAL LUZON),PH030000000,NUEVA ECIJA,PH034900000,85958,107224,91168,105793,206568,232928,240079,223684
REGION III (CENTRAL LUZON),PH030000000,PAMPANGA,PH035400000,8823,23297,28483,15434,206568,232928,240079,223684
REGION III (CENTRAL LUZON),PH030000000,TARLAC,PH036900000,35823,37538,40174,44266,206568,232928,240079,223684
REGION III (CENTRAL LUZON),PH030000000,ZAMBALES,PH037100000,29397,20365,22246,18288,206568,232928,240079,223684
REGION IV-A (CALABARZON),PH040000000,BATANGAS,PH041000000,49739,62889,80551,40163,189691,241158,256839,216461
REGION IV-A (CALABARZON),PH040000000,CAVITE,PH042100000,7093,15157,19983,35873,189691,241158,256839,216461
REGION IV-A (CALABARZON),PH040000000,LAGUNA,PH043400000,22772,37277,31409,32973,189691,241158,256839,216461
REGION IV-A (CALABARZON),PH040000000,QUEZON,PH045600000,98511,94988,94123,87983,189691,241158,256839,216461
REGION IV-A (CALABARZON),PH040000000,RIZAL,PH045800000,11576,30847,30773,19469,189691,241158,256839,216461
MIMAROPA REGION,PH170000000,MARINDUQUE,PH174000000,15481,13971,12743,9157,176282,160227,150486,121283
MIMAROPA REGION,PH170000000,OCCIDENTAL MINDORO,PH175100000,30084,24203,31070,31354,176282,160227,150486,121283
MIMAROPA REGION,PH170000000,ORIENTAL MINDORO,PH175200000,56043,48741,39272,29061,176282,160227,150486,121283
MIMAROPA REGION,PH170000000,PALAWAN,PH175300000,53193,53131,47730,28254,176282,160227,150486,121283
MIMAROPA REGION,PH170000000,ROMBLON,PH175900000,21481,20181,19671,23457,176282,160227,150486,121283
REGION V (BICOL REGION),PH050000000,ALBAY,PH050500000,67788,75910,90551,50815,361802,385522,375974,346965
REGION V (BICOL REGION),PH050000000,CAMARINES NORTE,PH051600000,32037,36527,26663,39647,361802,385522,375974,346965
REGION V (BICOL REGION),PH050000000,CAMARINES SUR,PH051700000,131601,142173,121614,104902,361802,385522,375974,346965
REGION V (BICOL REGION),PH050000000,CATANDUANES,PH052000000,15193,11002,13919,20022,361802,385522,375974,346965
REGION V (BICOL REGION),PH050000000,MASBATE,PH054100000,70711,74864,72903,69674,361802,385522,375974,346965
REGION V (BICOL REGION),PH050000000,SORSOGON,PH056200000,44472,45046,50324,61905,361802,385522,375974,346965
REGION VI (WESTERN VISAYAS),PH060000000,AKLAN,PH060400000,33647,41583,25204,11600,316668,353431,365041,281826
REGION VI (WESTERN VISAYAS),PH060000000,ANTIQUE,PH060600000,45308,39314,28598,20532,316668,353431,365041,281826
REGION VI (WESTERN VISAYAS),PH060000000,CAPIZ,PH061900000,34419,35726,37143,15654,316668,353431,365041,281826
REGION VI (WESTERN VISAYAS),PH060000000,"GUIMARASb/,c",PH067900000,6330,4665,6345,1594,316668,353431,365041,281826
REGION VI (WESTERN VISAYAS),PH060000000,ILOILO,PH063000000,71708,90558,102924,87264,316668,353431,365041,281826
REGION VI (WESTERN VISAYAS),PH060000000,NEGROS OCCIDENTAL,PH064500000,125256,141585,164827,145182,316668,353431,365041,281826
REGION VII (CENTRAL VISAYAS),PH070000000,BOHOL,PH071200000,97368,93942,83455,60279,411430,378221,405694,394336
REGION VII (CENTRAL VISAYAS),PH070000000,CEBU,PH072200000,209301,200481,185603,179162,411430,378221,405694,394336
REGION VII (CENTRAL VISAYAS),PH070000000,NEGROS ORIENTAL,PH074600000,99734,78122,131317,138029,411430,378221,405694,394336
REGION VII (CENTRAL VISAYAS),PH070000000,"SIQUIJORb/,c",PH076100000,5027,5676,5319,16866,411430,378221,405694,394336
REGION VIII (EASTERN VISAYAS),PH080000000,BILIRAN,PH087800000,7143,10701,7468,8173,271319,293886,337220,299898
